dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
syn_3c_balanced,1,f1_score,0.6533333333333333,0.6341736191502668,0.6533333333333333
syn_3c_balanced,1,pearson_r2,0.6088888888888889,0.5933239962651727,0.6088888888888889
syn_3c_balanced,2,accuracy,0.6444444444444445,0.6327911969940955,0.6452157420578474
syn_3c_balanced,2,f1_score,0.6933333333333334,0.6891172452587592,0.6936984352773826
syn_3c_balanced,2,pearson_r2,0.7155555555555555,0.7120886496909343,0.7164011379800854
syn_3c_balanced,3,accuracy,0.68,0.6735003323363244,0.68
syn_3c_balanced,3,f1_score,0.6088888888888889,0.589014772074635,0.6088888888888889
syn_3c_balanced,3,pearson_r2,0.6133333333333333,0.5969141639408007,0.6133333333333333
syn_3c_balanced,4,accuracy,0.6177777777777778,0.5932294285235461,0.6224406224406225
syn_3c_balanced,4,f1_score,0.6044444444444445,0.5807467750933235,0.6005031005031005
syn_3c_balanced,4,pearson_r2,0.6133333333333333,0.5820904938551997,0.6179361179361179
syn_3c_balanced,5,accuracy,0.5733333333333334,0.5574548907882241,0.5710384068278805
syn_3c_balanced,5,f1_score,0.5911111111111111,0.5063457206840302,0.5872024656235183
syn_3c_balanced,5,pearson_r2,0.6222222222222222,0.547168383679646,0.618376797850482
syn_3c_balanced,6,accuracy,0.6622222222222223,0.6599336940246031,0.6627264106211475
syn_3c_balanced,6,f1_score,0.6533333333333333,0.6467066466766617,0.6540746009167062
syn_3c_balanced,6,pearson_r2,0.5466666666666666,0.4778618614039212,0.5429951003635215
syn_3c_balanced,7,accuracy,0.5511111111111111,0.5365302185475739,0.5442855922307976
syn_3c_balanced,7,f1_score,0.6488888888888888,0.6286741713570981,0.6431536910988966
syn_3c_balanced,7,pearson_r2,0.6488888888888888,0.6324428724693231,0.648173990639744
syn_3c_imbalanced,0,accuracy,0.7777777777777778,0.6195328512526924,0.6064454064454065
syn_3c_imbalanced,0,f1_score,0.7911111111111111,0.6218253968253968,0.5598290598290597
syn_3c_imbalanced,0,pearson_r2,0.7733333333333333,0.5579922027290448,0.5293484293484294
syn_3c_imbalanced,1,accuracy,0.7644444444444445,0.584395532470148,0.5830060776063581
syn_3c_imbalanced,1,f1_score,0.6977777777777778,0.3550953887450867,0.37330528284244974
syn_3c_imbalanced,1,pearson_r2,0.7733333333333333,0.4659593280282935,0.4761103319308088
syn_3c_imbalanced,2,accuracy,0.7155555555555555,0.5733862662974459,0.5981180308953279
syn_3c_imbalanced,2,f1_score,0.6888888888888889,0.2719298245614035,0.3333333333333333
syn_3c_imbalanced,2,pearson_r2,0.6711111111111111,0.569720108753566,0.6162175604030518
syn_3c_imbalanced,3,accuracy,0.72,0.5186023114390359,0.5262630181134552
syn_3c_imbalanced,3,f1_score,0.7466666666666667,0.4687769555184213,0.45764077467100356
syn_3c_imbalanced,3,pearson_r2,0.7688888888888888,0.6147488820089438,0.6215133339301523
syn_3c_imbalanced,4,accuracy,0.7244444444444444,0.5653682881419496,0.6048289771694026
syn_3c_imbalanced,4,f1_score,0.7866666666666666,0.5053479649951382,0.5516457537734133
syn_3c_imbalanced,4,pearson_r2,0.7955555555555556,0.5089651477910128,0.5045132172791748
syn_3c_imbalanced,5,accuracy,0.8488888888888889,0.5811105818845758,0.6278335191378669
syn_3c_imbalanced,5,f1_score,0.8355555555555556,0.564935064935065,0.5703270159791899
syn_3c_imbalanced,5,pearson_r2,0.7955555555555556,0.5406257959599522,0.5868636194723151
syn_3c_imbalanced,6,accuracy,0.7511111111111111,0.5491720413489082,0.5655890003716091
syn_3c_imbalanced,6,f1_score,0.7555555555555555,0.5104204714822512,0.49739873652917127
syn_3c_imbalanced,6,pearson_r2,0.7866666666666666,0.6623878177291412,0.6819026384243775
syn_3c_imbalanced,7,accuracy,0.7822222222222223,0.6048398723097519,0.5779450018580453
syn_3c_imbalanced,7,f1_score,0.7777777777777778,0.6102579158021639,0.5596432552954292
syn_3c_imbalanced,7,pearson_r2,0.8133333333333334,0.6303339202421772,0.6112040133779265
syn_5c_imbalanced,0,accuracy,0.47,0.1878162148821521,0.3265993265993266
syn_5c_imbalanced,0,f1_score,0.6066666666666667,0.3335058830452169,0.31502180272672076
syn_5c_imbalanced,0,pearson_r2,0.58,0.40165846537981376,0.44238008500303583
syn_5c_imbalanced,1,accuracy,0.5933333333333334,0.36811295383236214,0.3819731256038205
syn_5c_imbalanced,1,f1_score,0.63,0.3166711128161242,0.3106723881681138
syn_5c_imbalanced,1,pearson_r2,0.5766666666666667,0.2869913398971353,0.3321142735816376
syn_5c_imbalanced,2,accuracy,0.5666666666666667,0.2689505464059456,0.28939170219403143
syn_5c_imbalanced,2,f1_score,0.6733333333333333,0.33533227006911215,0.3453978688102138
syn_5c_imbalanced,2,pearson_r2,0.7,0.5523339895624354,0.5542674225196571
syn_5c_imbalanced,3,accuracy,0.4033333333333333,0.16112852664576802,0.268013468013468
syn_5c_imbalanced,3,f1_score,0.5933333333333334,0.28470965371544044,0.3004010298679913
syn_5c_imbalanced,3,pearson_r2,0.6266666666666667,0.3085276616941128,0.32326009625444657
syn_5c_imbalanced,4,accuracy,0.43666666666666665,0.24665797071600473,0.3220875420875421
syn_5c_imbalanced,4,f1_score,0.6333333333333333,0.3651310120275637,0.3415844103275797
syn_5c_imbalanced,4,pearson_r2,0.6433333333333333,0.3637633599556833,0.3650874606065863
syn_5c_imbalanced,5,accuracy,0.4633333333333333,0.22869663874665797,0.25612785631724017
syn_5c_imbalanced,5,f1_score,0.6333333333333333,0.3956200662083015,0.37322409785466604
syn_5c_imbalanced,5,pearson_r2,0.6533333333333333,0.4392089477146948,0.46614856025098755
syn_5c_imbalanced,6,accuracy,0.5166666666666667,0.18227424749163879,0.277244494635799
syn_5c_imbalanced,6,f1_score,0.6133333333333333,0.3375329498088119,0.3360339520227319
syn_5c_imbalanced,6,pearson_r2,0.64,0.3846500867553499,0.41395420848436276
syn_5c_imbalanced,7,accuracy,0.5666666666666667,0.30160165776819353,0.36020238818053024
syn_5c_imbalanced,7,f1_score,0.6733333333333333,0.4153355180898803,0.4132321392430683
syn_5c_imbalanced,7,pearson_r2,0.58,0.41573153013315284,0.4342013946385531
syn_bin_imbalanced_high_overlap,0,accuracy,0.8285714285714286,0.453125,0.5
syn_bin_imbalanced_high_overlap,0,f1_score,0.4380952380952381,0.4013914387863562,0.4846743295019157
syn_bin_imbalanced_high_overlap,0,pearson_r2,0.4238095238095238,0.38461165871497416,0.4540229885057471
syn_bin_imbalanced_high_overlap,1,accuracy,0.8476190476190476,0.4587628865979381,0.5
syn_bin_imbalanced_high_overlap,1,f1_score,0.5952380952380952,0.4533092401457842,0.4664676966292135
syn_bin_imbalanced_high_overlap,1,pearson_r2,0.6857142857142857,0.48043184885290147,0.48139044943820225
syn_bin_imbalanced_high_overlap,2,accuracy,0.8333333333333334,0.45454545454545453,0.5
syn_bin_imbalanced_high_overlap,2,f1_score,0.5142857142857142,0.4573918330124632,0.5371428571428571
syn_bin_imbalanced_high_overlap,2,pearson_r2,0.5523809523809524,0.4671201814058957,0.5142857142857142
syn_bin_imbalanced_high_overlap,3,accuracy,0.8428571428571429,0.4573643410852713,0.5
