dataset,seed,fitness_method,class_label,per_class_accuracy
real_digits_10c,4,pearson_r2,5,0.41818181818181815
real_digits_10c,4,pearson_r2,6,0.7592592592592593
real_digits_10c,4,pearson_r2,7,0.8333333333333334
real_digits_10c,4,pearson_r2,8,0.34615384615384615
real_digits_10c,4,pearson_r2,9,0.12962962962962962
real_digits_10c,5,accuracy,0,0.9444444444444444
real_digits_10c,5,accuracy,1,0.01818181818181818
real_digits_10c,5,accuracy,2,0.0
real_digits_10c,5,accuracy,3,0.0
real_digits_10c,5,accuracy,4,0.05555555555555555
real_digits_10c,5,accuracy,5,0.0
real_digits_10c,5,accuracy,6,0.09259259259259259
real_digits_10c,5,accuracy,7,0.9259259259259259
real_digits_10c,5,accuracy,8,0.0
real_digits_10c,5,accuracy,9,0.1111111111111111
real_digits_10c,5,f1_score,0,0.9814814814814815
real_digits_10c,5,f1_score,1,0.36363636363636365
real_digits_10c,5,f1_score,2,0.37735849056603776
real_digits_10c,5,f1_score,3,0.3090909090909091
real_digits_10c,5,f1_score,4,0.37037037037037035
real_digits_10c,5,f1_score,5,0.509090909090909
real_digits_10c,5,f1_score,6,0.9814814814814815
real_digits_10c,5,f1_score,7,0.3148148148148148
real_digits_10c,5,f1_score,8,0.25
real_digits_10c,5,f1_score,9,0.6111111111111112
real_digits_10c,5,pearson_r2,0,0.9814814814814815
real_digits_10c,5,pearson_r2,1,0.05454545454545454
real_digits_10c,5,pearson_r2,2,0.3584905660377358
real_digits_10c,5,pearson_r2,3,0.34545454545454546
real_digits_10c,5,pearson_r2,4,0.3888888888888889
real_digits_10c,5,pearson_r2,5,0.4727272727272727
real_digits_10c,5,pearson_r2,6,0.5185185185185185
real_digits_10c,5,pearson_r2,7,0.8888888888888888
real_digits_10c,5,pearson_r2,8,0.23076923076923078
real_digits_10c,5,pearson_r2,9,0.14814814814814814
real_digits_10c,6,accuracy,0,0.9074074074074074
real_digits_10c,6,accuracy,1,0.03636363636363636
real_digits_10c,6,accuracy,2,0.9622641509433962
real_digits_10c,6,accuracy,3,0.0
real_digits_10c,6,accuracy,4,0.24074074074074073
real_digits_10c,6,accuracy,5,0.01818181818181818
real_digits_10c,6,accuracy,6,0.0
real_digits_10c,6,accuracy,7,0.1111111111111111
real_digits_10c,6,accuracy,8,0.0
real_digits_10c,6,accuracy,9,0.0
real_digits_10c,6,f1_score,0,0.9259259259259259
real_digits_10c,6,f1_score,1,0.23636363636363636
real_digits_10c,6,f1_score,2,0.6981132075471698
real_digits_10c,6,f1_score,3,0.4909090909090909
real_digits_10c,6,f1_score,4,0.8148148148148148
real_digits_10c,6,f1_score,5,0.5454545454545454
real_digits_10c,6,f1_score,6,0.037037037037037035
real_digits_10c,6,f1_score,7,0.6666666666666666
real_digits_10c,6,f1_score,8,0.3076923076923077
real_digits_10c,6,f1_score,9,0.6111111111111112
real_digits_10c,6,pearson_r2,0,0.9259259259259259
real_digits_10c,6,pearson_r2,1,0.509090909090909
real_digits_10c,6,pearson_r2,2,0.660377358490566
real_digits_10c,6,pearson_r2,3,0.5636363636363636
real_digits_10c,6,pearson_r2,4,0.8333333333333334
real_digits_10c,6,pearson_r2,5,0.21818181818181817
real_digits_10c,6,pearson_r2,6,0.07407407407407407
real_digits_10c,6,pearson_r2,7,0.7592592592592593
real_digits_10c,6,pearson_r2,8,0.5384615384615384
real_digits_10c,6,pearson_r2,9,0.18518518518518517
real_digits_10c,7,accuracy,0,1.0
real_digits_10c,7,accuracy,1,0.0
real_digits_10c,7,accuracy,2,0.0
real_digits_10c,7,accuracy,3,0.0
real_digits_10c,7,accuracy,4,0.2222222222222222
real_digits_10c,7,accuracy,5,0.2545454545454545
real_digits_10c,7,accuracy,6,0.09259259259259259
real_digits_10c,7,accuracy,7,0.018518518518518517
real_digits_10c,7,accuracy,8,0.0
real_digits_10c,7,accuracy,9,0.0
real_digits_10c,7,f1_score,0,0.6666666666666666
real_digits_10c,7,f1_score,1,0.09090909090909091
real_digits_10c,7,f1_score,2,0.6037735849056604
real_digits_10c,7,f1_score,3,0.43636363636363634
real_digits_10c,7,f1_score,4,0.4074074074074074
real_digits_10c,7,f1_score,5,0.38181818181818183
real_digits_10c,7,f1_score,6,0.8703703703703703
real_digits_10c,7,f1_score,7,0.7777777777777778
real_digits_10c,7,f1_score,8,0.038461538461538464
real_digits_10c,7,f1_score,9,0.037037037037037035
real_digits_10c,7,pearson_r2,0,0.9814814814814815
real_digits_10c,7,pearson_r2,1,0.21818181818181817
real_digits_10c,7,pearson_r2,2,0.5094339622641509
real_digits_10c,7,pearson_r2,3,0.5636363636363636
real_digits_10c,7,pearson_r2,4,0.5925925925925926
real_digits_10c,7,pearson_r2,5,0.0
real_digits_10c,7,pearson_r2,6,0.9259259259259259
real_digits_10c,7,pearson_r2,7,0.6296296296296297
real_digits_10c,7,pearson_r2,8,0.17307692307692307
real_digits_10c,7,pearson_r2,9,0.037037037037037035
